slug,translation,original
COMMON,,
file_edited_outside,,File {0} was edited outside of the program\nAircraft data should be reloaded
file_edited,,CFG file change detected
restore_backup,,Restore Backup
make_backup,,Make Backup
AircraftBackupButton,,Make Backup
EnginesBackupButton,,Make Backup
FlightModelBackupButton,,Make Backup
CockpitBackupButton,,Make Backup
SystemsBackupButton,,Make Backup
RunwayBackupButton,,Make Backup
ModelBackupButton,,Make Backup
PanelBackupButton,,Make Backup
AircraftEditButton,,Edit
EnginesEditButton,,Edit
FlightModelEditButton,,Edit
CockpitEditButton,,Edit
SystemsEditButton,,Edit
RunwayEditButton,,Edit
backup_creation_failed,,Backup creation is failed
directory_not_found,,Directory not found {0}
restore_backup_notice,,All changes in {0} made since backup will be erased
restore_backup_header,,You are going to restore {0}
destination_path,,Destination: {0}
source_path,,Source: {0}
aircraft_not_found_in,,Folder {0} does not contain aircraft.cfg
toggle_all,,Toggle all
cvt_remove_failed,,CVT folder removal was failed
btnOpenFile,,Browse
load_imported_header,,Load imported FSX (Legacy) or MSFS (Native) aircraft
load_imported_notice,,Set path of imported FSX aircraft or native MSFS aircraft
MainMenuButton,,Main Menu
imageLeftTooltip,,"Click it to start new import, you will need unpacked FSX aircraft files\non your disk or installed Flight Simulator X"
imageRightTooltip,,"Click it to load imported FSX (Legacy) or MSFS (Native) aircraft,\nusually they are stored in Community folder"
IMPORT,,
import_folders_not_selected,,You have to select both source (FSX) ans destination (MSFS) folders
import_fields_are_empty,,You have to fill in all fields
import_already_exists,,Aircraft already exists in folder {0}
import_same_directory,,You can't set same folder for source and destination
btnSourceFolder,,FSX aircraft directory
btnTargetFolder,,MSFS Community directory
btnImportSubmit,,Import
new_import_header,,Import new FSX aircraft
new_import_notice,,"Set path of FSX aircraft directory first (not the root of installed FSX), then set MSFS Community folder path"
JSON,,
json_no_files_added,,No files added in JSON
btnScan,,Rescan aircraft files
json_files_added,,{0} files added in JSON
update_layout_header,,Update LAYOUT.JSON file of current aircraft
INIT TAB,,
init_curr_aircraft,,Current aircraft
init_tabs_click,,Click on tabs to discover available fixes
init_cfg_tpl_missing,,CFG templates missing
init_simobject_missing,,"Selected folder {0} should contain SimObjects folder, and layout.json + manifest.json files"
init_cfg_ignored,,ignored
init_cfg_missing,,missing
init_cfg_loaded,,loaded
init_basic_mode,,Basic import mode
init_mode_active,,is active
init_basic_notice1,,"In Basic import mode you will have most features available, even if they will be applied to the single config file – ""aircraft.cfg""."
init_basic_notice2,,"This way MSFS will treat aircraft as Legacy, so flight model and engine configs will be loaded in compatibility mode. It is the easiest way to avoid engines, avionics and aerodynamics issues."
init_basic_notice3,,"However, MSFS compatibility code itself has issues that can't be fixed by changing config values. Also modern values (such as external view gauges) are not supported and can't be used."
init_basic_notice4,,"*Even if aircraft, imported in this mode, may have only minor issues, do not publish such half-finished planes as release."
init_basic_notice5,,If you still wish to share your success - make a video or text tutorial which can be used by other enthusiasts for educational purposes.
init_full_mode,,Full import mode
init_full_notice1,,"Full import mode requires ""aircraft.cfg"" file to be split on parts, so MSFS will treat this aircraft as Native."
init_full_notice2,,"In this case more complicated requirements will be applied to existing values and you will experience various issues that can be fixed by applying available fixes or editing config data. It is strongly recommended to perform AIR data import, remove air file, and add all missing variables manually to finalize import process."
init_full_notice3,,"*If you are the owner of the aircraft, or get permission to publish the import result, for free or for payment, you have to credit this tool in the release description."
init_full_notice4,,Feel free to contact me about any issues you will have with your project (contacts in About tab).
init_full_enable,,Enable Full import mode
init_parse_cfg,,Parse AIRCRAFT.CFG
AIRCRAFT TAB,,
aircraft_parameter_invalid,,aircraft parameter invalid
aircraft_parameter_missing,,aircraft parameter missing
aircraft_add_missing_parameters,,Try to add missing aircraft parameters
aircraft_missing_parameter_notice,,"Missing performance values will be searched in aircraft description. Invalid aircraft type value highlighted in red color, it should be fixed otherwise aircraft will not appear in main menu list."
aircraft_cfg_not_found,,aircraft.cfg not found in aircraft directory
aircraft_cfg_split_failed,,CFG split failed
aircraft_split_notice,,"aircraft.cfg file will be split on parts, so MSFS will treat this aircraft as Native. This operation can't be undone, current config file will be saved as "".aircraft.cfg"""
aircraft_split_header,,AIRCRAFT.CFG conversion warning
ENGINES TAB,,
engines_fix_issues,,Fix engines issues
engines_issues_notice,,"Invalid engine value should be fixed, otherwise aircraft will be ignored by flight model code and stay frozen even in the air."
engines_no_issues,,No engines issues
engines_power,,Adjust engines power
engines_fix_afterburner,,Fix afterburners thrust
engines_fix_afterburner_not_available,,Afterburners thrust can't be applied
