slug,translation,original
COMMON,,
file_edited_outside,Le fichier {0} a été modifié en dehors du programme \ Les données de l'avion doivent être rechargées,File {0} was edited outside of the program\nAircraft data should be reloaded
file_edited,modification du fichier CFG detecté,CFG file change detected
restore_backup,Restaurer la sauvegarde,Restore Backup
make_backup,Faire une sauvegarde,Make Backup
AircraftBackupButton,Faire une sauvegarde,Make Backup
EnginesBackupButton,Faire une sauvegarde,Make Backup
FlightModelBackupButton,Faire une sauvegarde,Make Backup
CockpitBackupButton,Faire une sauvegarde,Make Backup
SystemsBackupButton,Faire une sauvegarde,Make Backup
RunwayBackupButton,Faire une sauvegarde,Make Backup
ModelBackupButton,Faire une sauvegarde,Make Backup
PanelBackupButton,Faire une sauvegarde,Make Backup
AircraftEditButton,Édite/Modifié,Edit
EnginesEditButton,Édite/Modifié,Edit
FlightModelEditButton,Édite/Modifié,Edit
CockpitEditButton,Édite/Modifié,Edit
SystemsEditButton,Édite/Modifié,Edit
RunwayEditButton,Édite/Modifié,Edit
backup_creation_failed,La création de la sauvegarde a échoué,Backup creation is failed
directory_not_found,Répertoire non trouvé,Directory not found {0}
restore_backup_notice,Toutes les modifications apportées à {0} depuis la sauvegarde seront effacées,All changes in {0} made since backup will be erased
restore_backup_header,Vous allez restaurer le fichier {0},You are going to restore {0}
destination_path,Destination: {0},Destination: {0}
source_path,Source: {0},Source: {0}
aircraft_not_found_in,Repertoire {0} ne contient pas aircraft.cfg,Folder {0} does not contain aircraft.cfg
toggle_all,Tous Activez,Toggle all
cvt_remove_failed,Le Répertoire CVT n'a pas pu être effacé ,CVT folder removal was failed
btnOpenFile,Parcourir,Browse
load_imported_header,Charger un avion FSX (Legacy) ou MSFS (natif) importé,Load imported FSX (Legacy) or MSFS (Native) aircraft
load_imported_notice,Définir la trajectoire de l'avion FSX importé ou de l'avion MSFS natif,Set path of imported FSX aircraft or native MSFS aircraft
MainMenuButton,Menu Principal,Main Menu
imageLeftTooltip,"Cliquez Ici pour démarrer une nouvelle importation, vous aurez besoin des fichiers d'avions FSX décompressés \n ou sur votre disque ou Flight Simulator X est installé","Click it to start new import, you will need unpacked FSX aircraft files\non your disk or installed Flight Simulator X"
imageRightTooltip,"Cliquez dessus Ici pour charger les avions importés FSX (Legacy) ou MSFS (Natif), \n en général, ils sont stockés dans le dossier Communauté","Click it to load imported FSX (Legacy) or MSFS (Native) aircraft,\nusually they are stored in Community folder"
IMPORT,,
import_folders_not_selected,Vous devez sélectionner les dossiers source (FSX) et destination (MSFS),You have to select both source (FSX) ans destination (MSFS) folders
import_fields_are_empty,Vous devez remplir tous les champs,You have to fill in all fields
import_already_exists,L'avion existe déjà dans le dossier {0},Aircraft already exists in folder {0}
import_same_directory,Vous ne pouvez pas définir le même dossier pour la source et la destination,You can't set same folder for source and destination
btnSourceFolder,Repertoire Avions FSX,FSX aircraft directory
btnTargetFolder,Repertoire Avions MSFS,MSFS Community directory
btnImportSubmit,Importer,Import
new_import_header,Importer un nouvelle avion FSX,Import new FSX aircraft
new_import_notice,"Définissez d'abord le chemin du répertoire de l'avion FSX (pas la racine du jeux FSX ), puis définissez le chemin du dossier de la communauté MSFS","Set path of FSX aircraft directory first (not the root of installed FSX), then set MSFS Community folder path"
JSON,,
json_no_files_added,Aucun fichiers JSON ajoutés ,No files added in JSON
btnScan,Analyser à nouveau les fichiers Avion,Rescan aircraft files
json_files_added,{0} fichiers ajoutés au JSON,{0} files added in JSON
update_layout_header,Mettre à jour le fichier LAYOUT.JSON de l'avion actuel,Update LAYOUT.JSON file of current aircraft
INIT TAB,,
init_curr_aircraft,Avion Actuel,Current aircraft
init_tabs_click,Cliquez sur les onglets pour découvrir les correctifs disponibles,Click on tabs to discover available fixes
