slug,translation,original
COMMON,,
file_edited_outside,Файл {0} был изменён сторонним приложением.\nДанные ЛА должны быть обновлены,File {0} was edited outside of the program\nAircraft data should be reloaded
file_edited,Обнаружено изменение CFG файла,CFG file change detected
restore_backup,Восстановить резервную копию,Restore Backup
AircraftBackupButton,Создать резервную копию,Make Backup
EnginesBackupButton,Создать резервную копию,Make Backup
FlightModelBackupButton,Создать резервную копию,Make Backup
CockpitBackupButton,Создать резервную копию,Make Backup
SystemsBackupButton,Создать резервную копию,Make Backup
RunwayBackupButton,Создать резервную копию,Make Backup
ModelBackupButton,Создать резервную копию,Make Backup
PanelBackupButton,Создать резервную копию,Make Backup
AircraftEditButton,Править,Edit
EnginesEditButton,Править,Edit
FlightModelEditButton,Править,Edit
CockpitEditButton,Править,Edit
SystemsEditButton,Править,Edit
RunwayEditButton,Править,Edit
backup_creation_failed,Ошибка создания резервной копии,Backup creation is failed
directory_not_found,Директория {0} не найдена,Directory not found {0}
restore_backup_notice,"Все изменения, сделанные в {0} после создания резервной копии, будут удалены",All changes in {0} made since backup will be erased
restore_backup_header,Вы пытаетесь восстановить резервную копию {0},You are going to restore {0}
destination_path,Папка назначения: {0} ,Destination: {0}
source_path,Папка исходников: {0},Source: {0}
aircraft_not_found_in,"Папка {0} должна содержать файл ""aircraft.cfg""",Folder {0} does not contain aircraft.cfg
toggle_all,Выбрать всё,Toggle all
cvt_remove_failed,Ошибка удаление кэша CVT,CVT folder removal was failed
btnOpenFile,Выбрать,Browse
load_imported_header,Загрузить импортированный FSX (Legacy) или MSFS (современный) ЛА,Load imported FSX (Legacy) or MSFS (Native) aircraft
load_imported_notice,Выбрать импортированный или современный ЛА,Set path of imported FSX aircraft or native MSFS aircaft
MainMenuButton,Главное меню,Main Menu
IMPORT,,
import_folders_not_selected,Вы должны выбрать исходную папку (ЛА из FSX) и папку назначения (MSFS),You have to select both source (FSX) ans destination (MSFS) folders
import_fields_are_empty,Вы должны заполнить все поля,You have to fill in all fields
import_already_exists,ЛА в папке {0} уже существует,Aircraft already exists in folder {0}
